x1,x2,x3,y
-9197,8416,-7542,-4968
5240,5985,731,13524
8684,1368,-6269,44856
-9303,1159,-5188,-12348
4625,-8341,9494,-14610
-6826,-8057,-7059,696
-2285,7825,-5437,9453
4815,774,4475,1017
6165,-5789,1913,12753
3129,-97,-3657,20355
2498,-8931,-4761,21774
-1310,4112,9394,-32115
-3354,-5835,-8501,15438
4053,-2188,-2247,18897
4963,832,5210,-744
-8645,110,7814,-49380
-6835,8904,-2094,-14226
-8799,7484,295,-27285
-2088,6508,-9227,21414
-8869,8500,972,-29526
-6837,6654,-5328,-4530
487,-2226,5562,-15228
-7052,327,-8267,3642
-3685,-801,6276,-29886
5444,3586,-2381,23472
360,-901,1326,-2901
-1859,-3947,-1423,-1311
1043,4473,8847,-23415
-7439,-3708,1427,-26601
1905,3215,-3663,16701
289,1208,-3273,10683
3139,-1778,8483,-16035
-686,-9801,558,-3735
276,-2033,1318,-3129
4691,6028,-4852,28626
-6640,4528,-8883,6726
-8982,7538,-2103,-20640
2609,-3240,7572,-14892
-7802,-2055,-1871,-17796
7610,-8255,4414,9585
2450,2895,2446,9
-9978,-264,201,-30540
-9158,7016,6004,-45489
-3902,-259,2286,-18567
-9409,5133,802,-30636
-6726,-9018,-530,-18591
-6782,6846,-6149,-1902
-8470,-6708,-4415,-12168
-6737,-1615,-3730,-9024
2746,9637,-5663,25224
8335,959,5807,7581
8539,752,6076,7386
-581,6472,3932,-13542
-3499,8212,7057,-31671
-8873,7636,-9602,2184
-1744,524,681,-7278
4615,4183,3771,2529
3740,-9494,-8996,38205
6651,50,-2836,28458
-5680,-7654,1160,-20523
9359,9359,-5513,44613
6455,3617,-8096,43650
-3378,-7451,-8637,15774
3133,-8813,2704,1284
4882,-7819,7765,-8652
-5037,259,-7532,7482
-3383,-5521,-656,-8184
-2313,-5557,-6773,13377
-1176,-2288,5471,-19944
-1250,-3696,2691,-11826
8836,6751,-9649,55452
-5511,-9197,4871,-31149
-1132,-592,7510,-25929
9753,-3099,4242,16530
2111,7111,-4547,19971
5095,6629,-6378,34416
6402,-1608,-7078,40437
